Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1887,2692746.6,53453061.746593,20.178713923076923,6957405,40506.83,7.688724255177469,0.0,2.583757788423166,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/","CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/"
1888,1328480.56,26257802.411872,19.75109934285714,1769005,42862.17,14.867490245574208,0.0,1.3316002155123745,Actividad media,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1889,808934.04,17232220.042992,21.159784107142848,3832584,47810.229999999996,4.50871534009222,0.0,4.7378201565111535,Alta actividad,"CUAUTITLAN,EM → EL SALTO,JA","CUAUTITLAN,EM → EL SALTO,JA"
1890,2373190.97,47777510.301501,20.22516810526316,2019130,43836.86,23.68413483109111,0.0,0.8508080578108722,Actividad media,"TEXAS CITY,TX → APASEO EL ALTO,GJ","TEXAS CITY,TX → APASEO EL ALTO,GJ"
1891,2204263.34,43799791.798506,19.855140604651158,2566369,77509.48,17.097035258182277,0.0,1.1642751360189114,Actividad media,"APASEO EL ALTO,GJ → TEXAS CITY,TX","APASEO EL ALTO,GJ → TEXAS CITY,TX"
1892,979650.0,19466905.247928,20.15377579166665,4006608,89952.67,4.881150818330119,0.0,4.089836165977645,Alta actividad,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1893,69709.77,1400027.498181,20.53649999999998,261420,53820.89,5.561351037338381,0.0,3.75011996166391,Poca actividad,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1894,913290.04,19800465.376553,21.75897503076923,6764745,119301.59999999999,2.9446441775045478,0.0,7.4070062123966665,Alta actividad,"TULTITLAN,EM → TIJUANA,BJ/","TULTITLAN,EM → TIJUANA,BJ/"
1895,2980408.0,60599601.0083122,20.95037493939394,4639668,60208.89,13.07417037130937,0.0,1.5567224353175806,Alta actividad,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ","TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ"
1896,948496.19,18646154.301032,19.640490093023264,2783906,137085.57,6.7470812128829065,0.0,2.9350734661359055,Actividad media,"TULTITLAN,EM → MERIDA,YC/","TULTITLAN,EM → MERIDA,YC/"
